",Type selection,Temps d'execution, Meilleur score, Nombre d'individu, Nombre generation, Mutation, Survivants,"
",selection_duel,6.772886276245117,285.80458218458796,50,10,0.005,17,"
",selection_duel_pondere,7.347352027893066,617.5932364191752,50,10,0.005,17,"
",selection_p_best,2.5232129096984863,369.3482991450889,50,10,0.005,40,"
",selection_par_rang,2.4764151573181152,766.8203581127707,50,10,0.005,40,"
",selection_proportionnelle,2.498321294784546,648.9880187491472,50,10,0.005,40,"
",selection_duel,6.4686620235443115,530.3065824629504,50,10,0.005,20,"
",selection_duel_pondere,6.316142320632935,426.58792266603143,50,10,0.005,20,"
",selection_p_best,1.9806663990020752,812.5153312002764,50,10,0.005,45,"
",selection_par_rang,2.118377923965454,1004.6764487015334,50,10,0.005,45,"
",selection_proportionnelle,2.1751770973205566,1311.1244559109462,50,10,0.005,45,"
",selection_duel,5.5774641036987305,662.391270431739,50,10,0.005,22,"
",selection_duel_pondere,5.811135768890381,709.6311563450516,50,10,0.005,22,"
",selection_p_best,9.633199453353882,344.74561341168413,50,10,0.01,5,"
",selection_par_rang,8.848953485488892,591.4842515347615,50,10,0.01,5,"
",selection_proportionnelle,8.902647018432617,386.90822912715345,50,10,0.01,5,"
",selection_duel,10.024193525314331,398.82242971002796,50,10,0.01,2,"
",selection_duel_pondere,9.279223203659058,370.4289137584068,50,10,0.01,2,"
",selection_p_best,7.848973989486694,407.0125213253336,50,10,0.01,10,"
",selection_par_rang,7.424145460128784,555.7349058320256,50,10,0.01,10,"
",selection_proportionnelle,7.425183534622192,392.23982956253144,50,10,0.01,10,"
",selection_duel,8.415777206420898,555.7349058320256,50,10,0.01,5,"
",selection_duel_pondere,8.419484376907349,307.9558410468481,50,10,0.01,5,"
",selection_p_best,6.75788950920105,444.9241070735808,50,10,0.01,15,"
",selection_par_rang,6.78005838394165,560.940955024426,50,10,0.01,15,"
",selection_proportionnelle,6.72896671295166,759.2294056772071,50,10,0.01,15,"
",selection_duel,8.076161861419678,549.954530038506,50,10,0.01,7,"
",selection_duel_pondere,8.54608941078186,749.7730479809575,50,10,0.01,7,"
",selection_p_best,6.1844987869262695,561.5958346361768,50,10,0.01,20,"
",selection_par_rang,5.857336521148682,414.5791322199722,50,10,0.01,20,"
",selection_proportionnelle,5.790508985519409,348.2091746155769,50,10,0.01,20,"
",selection_duel,7.4420647621154785,521.8383190653046,50,10,0.01,10,"
",selection_duel_pondere,7.429347515106201,270.88039375551153,50,10,0.01,10,"
",selection_p_best,5.141287326812744,489.2752701664565,50,10,0.01,25,"
",selection_par_rang,5.143246650695801,364.02839145183145,50,10,0.01,25,"
",selection_proportionnelle,5.12230110168457,512.0442588199868,50,10,0.01,25,"
",selection_duel,7.069056749343872,605.8269922773082,50,10,0.01,12,"
",selection_duel_pondere,7.086086988449097,272.6548428085016,50,10,0.01,12,"
",selection_p_best,4.111043214797974,433.42838745352157,50,10,0.01,30,"
",selection_par_rang,4.117988348007202,113.72747801899499,50,10,0.01,30,"
",selection_proportionnelle,4.20571494102478,725.6342507993971,50,10,0.01,30,"
",selection_duel,6.755969762802124,596.268092221871,50,10,0.01,15,"
",selection_duel_pondere,6.753939390182495,521.9295075581012,50,10,0.01,15,"
",selection_p_best,3.4467813968658447,369.63993347453237,50,10,0.01,35,"
",selection_par_rang,3.4746761322021484,711.1807432119863,50,10,0.01,35,"
",selection_proportionnelle,3.4358112812042236,941.5596088687338,50,10,0.01,35,"
",selection_duel,6.477716684341431,401.4775910432879,50,10,0.01,17,"
",selection_duel_pondere,6.461251258850098,384.42272166459,50,10,0.01,17,"
",selection_p_best,2.4793665409088135,775.7404566743794,50,10,0.01,40,"
",selection_par_rang,2.4803659915924072,331.1611571231807,50,10,0.01,40,"
",selection_proportionnelle,2.472388505935669,456.80699239479844,50,10,0.01,40,"
",selection_duel,5.787522315979004,484.44875666195946,50,10,0.01,20,"
",selection_duel_pondere,5.783533573150635,467.77963822443803,50,10,0.01,20,"
",selection_p_best,1.81614351272583,684.7041375964288,50,10,0.01,45,"
",selection_par_rang,1.8241207599639893,684.7041375964288,50,10,0.01,45,"
",selection_proportionnelle,1.7802391052246094,684.7041375964288,50,10,0.01,45,"
",selection_duel,5.442447185516357,534.4561553273797,50,10,0.01,22,"
",selection_duel_pondere,5.44753360748291,641.5648615699408,50,10,0.01,22,"
",selection_p_best,8.406555891036987,426.76620559265695,50,10,0.05,5,"
",selection_par_rang,8.410508632659912,634.7559051684183,50,10,0.05,5,"
",selection_proportionnelle,8.419023275375366,406.39452367372405,50,10,0.05,5,"
",selection_duel,8.767512559890747,489.2713422394175,50,10,0.05,2,"
",selection_duel_pondere,8.741655111312866,918.0714188416205,50,10,0.05,2,"
",selection_p_best,7.465031147003174,530.9295193990195,50,10,0.05,10,"
",selection_par_rang,7.4450578689575195,394.56992701057237,50,10,0.05,10,"
",selection_proportionnelle,7.421191453933716,544.1832394995437,50,10,0.05,10,"
",selection_duel,8.427845001220703,739.7820949657103,50,10,0.05,5,"
",selection_duel_pondere,8.383289575576782,209.63465488984716,50,10,0.05,5,"
",selection_p_best,6.834721803665161,645.0249805485817,50,10,0.05,15,"
",selection_par_rang,6.7688984870910645,560.7031872015239,50,10,0.05,15,"
",selection_proportionnelle,6.778872489929199,393.51874187440916,50,10,0.05,15,"
",selection_duel,8.080392122268677,325.85144164310395,50,10,0.05,7,"
",selection_duel_pondere,8.080392122268677,292.94804130495044,50,10,0.05,7,"
",selection_p_best,5.777549982070923,471.5638788900176,50,10,0.05,20,"
",selection_par_rang,5.773560523986816,641.3707405651317,50,10,0.05,20,"
",selection_proportionnelle,5.798492670059204,695.0775174371187,50,10,0.05,20,"
",selection_duel,7.484457492828369,517.8638336047189,50,10,0.05,10,"
",selection_duel_pondere,7.462084054946899,253.52185068149362,50,10,0.05,10,"
",selection_p_best,5.176120281219482,443.302420416126,50,10,0.05,25,"
",selection_par_rang,5.153257131576538,612.9351252094104,50,10,0.05,25,"
",selection_proportionnelle,5.103958368301392,669.2692566981277,50,10,0.05,25,"
",selection_duel,7.108992576599121,326.4434901773934,50,10,0.05,12,"
",selection_duel_pondere,7.126932859420776,521.9224780809222,50,10,0.05,12,"
",selection_p_best,4.15388298034668,508.06984318510115,50,10,0.05,30,"
",selection_par_rang,4.101000070571899,377.61564512933376,50,10,0.05,30,"
",selection_proportionnelle,4.161910533905029,717.6576088140268,50,10,0.05,30,"
",selection_duel,6.781861066818237,380.18758243684556,50,10,0.05,15,"
",selection_duel_pondere,6.775882959365845,473.57536148199387,50,10,0.05,15,"
",selection_p_best,3.4926609992980957,715.0420313755874,50,10,0.05,35,"
",selection_par_rang,3.463697910308838,594.0709757921685,50,10,0.05,35,"
",selection_proportionnelle,3.466766357421875,528.2233619315148,50,10,0.05,35,"
",selection_duel,6.4946067333221436,273.6350813084725,50,10,0.05,17,"
",selection_duel_pondere,6.4537672996521,677.7185831709047,50,10,0.05,17,"
",selection_p_best,2.4994513988494873,548.7167422954486,50,10,0.05,40,"
",selection_par_rang,2.474346399307251,548.7167422954486,50,10,0.05,40,"
",selection_proportionnelle,2.4435009956359863,548.7167422954486,50,10,0.05,40,"
",selection_duel,5.769570589065552,301.906498754768,50,10,0.05,20,"
",selection_duel_pondere,5.762590646743774,373.82463217320054,50,10,0.05,20,"
",selection_p_best,1.8211305141448975,737.3329019655154,50,10,0.05,45,"
",selection_par_rang,1.8171391487121582,737.3329019655154,50,10,0.05,45,"
",selection_proportionnelle,1.7952003479003906,737.3329019655154,50,10,0.05,45,"
",selection_duel,5.414482116699219,240.39577940346996,50,10,0.05,22,"
",selection_duel_pondere,5.43051552772522,502.6233845995112,50,10,0.05,22,"
",selection_p_best,8.428794145584106,602.2537105396448,50,10,0.1,5,"
",selection_par_rang,8.462670087814331,224.75357309853894,50,10,0.1,5,"
",selection_proportionnelle,8.46451711654663,661.4962467588041,50,10,0.1,5,"
",selection_duel,8.753591537475586,604.3608434606316,50,10,0.1,2,"
",selection_duel_pondere,8.73563289642334,469.86578633466553,50,10,0.1,2,"
",selection_p_best,7.41417121887207,586.4211955028333,50,10,0.1,10,"
",selection_par_rang,7.4112184047698975,527.1599520073404,50,10,0.1,10,"
",selection_proportionnelle,7.445091724395752,622.6023776530282,50,10,0.1,10,"
